path,currentWidth,currentHeight,currentBytes,currentType,originalMatch,originalPath,originalWidth,originalHeight,originalBytes,originalType,sameBytes,better,improvementRatio,lowForHero,usedByTourImageRefs,usedFields
images/tour-photos/Uganda/02-Africa/01/05.webp,1024,444,107361,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Uganda/02-Africa/01/06.webp,1024,444,108183,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Uganda/02-Africa/02/01.webp,1024,444,99137,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Uganda/02-Africa/02/02.webp,1024,444,94873,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Uganda/02-Africa/02/03.webp,1024,444,87148,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Uganda/02-Africa/02/04.webp,1024,444,94138,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Uganda/02-Africa/02/05.webp,1024,444,108838,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Uganda/02-Africa/02/06.webp,1024,444,84271,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Uganda/02-Africa/03/01.webp,1024,444,108230,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Uganda/02-Africa/03/02.webp,1024,444,99766,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Uganda/02-Africa/03/03.webp,1024,444,112303,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Tanzania/01/01.webp,1024,444,105185,JPEG,false,,0,0,0,,false,false,0,true,2,image1|mainPhoto
images/tour-photos/Tanzania/01/02.webp,1024,444,63956,JPEG,false,,0,0,0,,false,false,0,true,3,image1|image2|mainPhoto
images/tour-photos/Tanzania/01/03.webp,1024,444,49318,JPEG,false,,0,0,0,,false,false,0,true,4,image1|image2|image3|mainPhoto
images/tour-photos/Tanzania/01/04.webp,1024,444,78308,JPEG,false,,0,0,0,,false,false,0,true,5,image1|image2|image3|image4|mainPhoto
images/tour-photos/Tanzania/01/05.webp,1024,444,72997,JPEG,false,,0,0,0,,false,false,0,true,6,image1|image2|image3|image4|image5|mainPhoto
images/tour-photos/Tanzania/01/06.webp,1024,444,69908,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Tanzania/02/01.webp,1024,444,82846,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Tanzania/02/02.webp,1024,444,60288,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Tanzania/02/03.webp,1024,444,125266,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Tanzania/02/04.webp,1024,444,79043,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Tanzania/02/05.webp,1024,444,129784,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Tanzania/02/06.webp,1024,444,96932,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Tanzania/03/01.webp,1024,444,127147,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Tanzania/03/02.webp,1024,444,104647,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Tanzania/03/03.webp,1024,444,75974,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Tanzania/03/04.webp,1024,444,77590,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Tanzania/03/05.webp,1024,444,103577,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Tanzania/03/06.webp,1024,444,73308,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Tanzania/04/01.webp,1024,444,109624,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Tanzania/04/02.webp,1024,444,93080,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Tanzania/04/03.webp,1024,444,71310,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Tanzania/04/04.webp,1024,444,101440,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Tanzania/04/05.webp,1024,444,82775,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Tanzania/04/06.webp,1024,444,97606,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Tanzania/05/01.webp,1024,444,114158,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Tanzania/05/02.webp,1024,444,65124,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Tanzania/05/03.webp,1024,444,83021,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Tanzania/05/04.webp,1024,444,53819,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Tanzania/05/05.webp,1024,444,102535,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Tanzania/05/06.webp,1024,444,78628,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
images/tour-photos/Tanzania/06/01.webp,1024,444,87690,JPEG,false,,0,0,0,,false,false,0,true,7,image1|image2|image3|image4|image5|image6|mainPhoto
